iter	Passed	Remaining
834	1743	344
835	1744	342
836	1744	339
837	1747	337
838	1749	335
839	1751	333
840	1754	331
841	1755	329
842	1756	327
843	1757	324
844	1758	322
845	1762	320
846	1764	318
847	1766	316
848	1767	314
849	1768	312
850	1769	309
851	1770	307
852	1771	305
853	1773	303
854	1773	300
855	1778	299
856	1779	297
857	1782	294
858	1783	292
859	1784	290
860	1785	288
861	1786	285
862	1787	283
863	1787	281
864	1789	279
865	1791	277
866	1793	275
867	1795	273
868	1796	270
869	1797	268
870	1798	266
871	1799	264
872	1800	261
873	1801	259
874	1801	257
875	1807	255
876	1808	253
877	1810	251
878	1811	249
879	1812	247
880	1813	244
881	1814	242
882	1815	240
883	1816	238
884	1822	236
885	1826	235
886	1827	232
887	1828	230
888	1829	228
889	1830	226
890	1831	224
891	1833	221
892	1837	220
893	1838	217
894	1840	215
895	1841	213
896	1842	211
897	1843	209
898	1844	207
899	1845	205
900	1846	202
901	1847	200
902	1852	198
903	1853	196
904	1855	194
905	1856	192
906	1858	190
907	1858	188
908	1860	186
909	1860	184
910	1861	181
911	1862	179
912	1866	177
913	1868	175
914	1870	173
915	1871	171
916	1872	169
917	1873	167
918	1875	165
919	1876	163
920	1877	161
921	1881	159
922	1883	157
923	1885	155
924	1886	152
925	1887	150
926	1888	148
927	1889	146
928	1891	144
929	1891	142
930	1892	140
931	1897	138
932	1898	136
933	1901	134
934	1902	132
935	1903	130
936	1904	128
937	1905	125
938	1906	123
939	1907	121
940	1911	119
941	1913	117
942	1914	115
943	1916	113
944	1917	111
945	1918	109
946	1919	107
947	1920	105
948	1921	103
949	1922	101
950	1927	99
951	1928	97
952	1931	95
953	1932	93
954	1933	91
955	1934	89
956	1935	86
957	1936	84
958	1937	82
959	1942	80
960	1943	78
961	1946	76
962	1947	74
963	1948	72
964	1949	70
965	1950	68
966	1951	66
967	1952	64
968	1953	62
969	1959	60
970	1961	58
971	1962	56
972	1963	54
973	1965	52
974	1966	50
975	1972	48
976	1975	46
977	1977	44
978	1978	42
979	1979	40
980	1987	38
981	1990	36
982	1993	34
983	1995	32
984	1996	30
985	2003	28
986	2007	26
987	2009	24
988	2011	22
989	2017	20
990	2021	18
991	2023	16
992	2024	14
993	2026	12
994	2027	10
995	2033	8
996	2035	6
997	2037	4
998	2039	2
999	2040	0
